CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST_00090,Female,0,Yes,Yes,41,Yes,Fiber optic,Month-to-month,Yes,Mailed check,78.96,3246.32,No
CUST_00091,Female,0,No,Yes,45,Yes,Fiber optic,Month-to-month,Yes,Credit card,93.92,4135.72,Yes
CUST_00092,Female,0,Yes,No,13,Yes,No,Month-to-month,No,Credit card,19.74,247.71,No
CUST_00093,Female,0,No,No,27,Yes,DSL,Two year,Yes,Bank transfer,68.06,1927.62,No
CUST_00094,Female,0,Yes,Yes,19,Yes,Fiber optic,Month-to-month,No,Electronic check,96.42,1843.76,Yes
CUST_00095,Female,0,No,Yes,26,Yes,No,Month-to-month,No,Bank transfer,24.63,632.23,Yes
CUST_00096,Female,0,No,Yes,53,Yes,No,Month-to-month,Yes,Mailed check,21.12,1087.34,No
CUST_00097,Female,0,No,No,51,Yes,Fiber optic,Two year,Yes,Electronic check,109.37,5828.96,No
CUST_00098,Female,0,No,Yes,37,Yes,Fiber optic,Month-to-month,No,Credit card,95.91,3593.82,Yes
CUST_00099,Female,0,Yes,No,9,Yes,No,Month-to-month,No,Credit card,24.4,209.9,Yes
CUST_00100,Male,0,Yes,Yes,52,Yes,Fiber optic,Month-to-month,No,Credit card,83.13,4132.42,Yes
CUST_00101,Male,0,Yes,No,54,Yes,Fiber optic,Two year,Yes,Credit card,94.74,5340.73,No
CUST_00102,Female,0,No,Yes,3,Yes,DSL,Month-to-month,No,Mailed check,58.65,179.65,Yes
CUST_00103,Female,0,No,No,69,Yes,DSL,Two year,Yes,Credit card,47.31,3134.7,No
CUST_00104,Female,0,No,Yes,8,No,Fiber optic,One year,Yes,Credit card,95.84,776.22,Yes
CUST_00105,Female,0,No,Yes,14,Yes,Fiber optic,One year,Yes,Credit card,105.74,1468.44,No
CUST_00106,Female,0,No,Yes,3,Yes,Fiber optic,Two year,Yes,Bank transfer,95.03,293.32,No
CUST_00107,Female,0,No,Yes,24,Yes,DSL,Month-to-month,No,Mailed check,54.78,1284.9,Yes
CUST_00108,Female,0,Yes,No,13,Yes,No,Month-to-month,No,Electronic check,19.85,254.99,Yes
CUST_00109,Female,0,Yes,No,43,Yes,Fiber optic,Month-to-month,No,Mailed check,80.7,3354.8,No
CUST_00110,Male,0,Yes,No,29,Yes,Fiber optic,One year,No,Mailed check,114.08,3226.53,No
CUST_00111,Female,0,Yes,No,72,Yes,No,Two year,No,Mailed check,20.79,1450.67,No
CUST_00112,Male,0,Yes,No,51,Yes,DSL,Two year,No,Credit card,56.09,2724.53,No
CUST_00113,Female,0,Yes,Yes,42,Yes,Fiber optic,One year,No,Bank transfer,88.83,3561.58,Yes
CUST_00114,Female,0,Yes,No,31,Yes,Fiber optic,Two year,Yes,Bank transfer,75.21,2409.79,No
CUST_00115,Male,0,Yes,No,63,Yes,Fiber optic,Two year,No,Bank transfer,78.82,5116.58,No
CUST_00116,Female,0,No,No,26,Yes,Fiber optic,Two year,Yes,Bank transfer,92.9,2328.64,No
CUST_00117,Male,0,No,No,18,Yes,DSL,Month-to-month,Yes,Electronic check,72.96,1335.32,No
CUST_00118,Female,0,No,Yes,57,Yes,Fiber optic,Month-to-month,No,Bank transfer,109.44,6391.27,No
CUST_00119,Female,0,No,Yes,7,Yes,Fiber optic,Two year,No,Credit card,108.97,728.56,No
CUST_00120,Male,0,No,Yes,48,Yes,DSL,One year,No,Credit card,78.07,3593.0,No
CUST_00121,Female,0,No,Yes,60,Yes,No,Two year,No,Bank transfer,18.88,1139.96,No
CUST_00122,Male,1,No,No,33,Yes,Fiber optic,Month-to-month,Yes,Electronic check,71.84,2341.0,Yes
CUST_00123,Female,0,Yes,No,3,Yes,No,Month-to-month,Yes,Bank transfer,18.74,57.34,Yes
CUST_00124,Male,1,Yes,Yes,4,Yes,Fiber optic,Month-to-month,Yes,Credit card,97.03,390.37,No
CUST_00125,Male,0,No,Yes,4,Yes,Fiber optic,Month-to-month,Yes,Credit card,95.03,362.28,Yes
CUST_00126,Female,1,Yes,No,42,Yes,No,Two year,No,Credit card,22.7,970.85,No
CUST_00127,Female,0,Yes,No,9,Yes,No,Month-to-month,Yes,Mailed check,20.6,179.89,Yes
CUST_00128,Male,0,Yes,Yes,51,Yes,DSL,One year,Yes,Credit card,58.71,2937.88,No
CUST_00129,Female,0,Yes,Yes,17,Yes,No,Month-to-month,No,Bank transfer,21.82,379.69,No
CUST_00130,Female,0,Yes,Yes,17,Yes,Fiber optic,Month-to-month,No,Credit card,73.56,1284.4,No
CUST_00131,Female,0,No,Yes,20,Yes,DSL,Month-to-month,No,Electronic check,73.0,1437.4,Yes
CUST_00132,Male,0,Yes,No,14,Yes,Fiber optic,Two year,Yes,Mailed check,111.53,1497.26,No
CUST_00133,Male,0,No,No,22,Yes,No,Two year,No,Electronic check,20.71,467.94,No
CUST_00134,Male,0,No,No,52,Yes,No,One year,No,Credit card,23.18,1249.82,No
CUST_00135,Male,0,No,Yes,27,Yes,DSL,Two year,Yes,Mailed check,64.21,1814.14,No
CUST_00136,Male,0,Yes,No,43,Yes,Fiber optic,Two year,No,Mailed check,80.62,3403.52,No
CUST_00137,Male,1,No,No,3,Yes,No,Month-to-month,Yes,Mailed check,18.47,53.34,Yes
CUST_00138,Male,0,No,Yes,8,Yes,Fiber optic,Month-to-month,No,Credit card,81.07,676.91,Yes
CUST_00139,Male,1,No,Yes,10,Yes,Fiber optic,Month-to-month,No,Electronic check,97.22,962.46,Yes
CUST_00140,Male,0,No,Yes,29,Yes,Fiber optic,Month-to-month,No,Credit card,71.81,1997.85,No
CUST_00141,Female,0,Yes,Yes,40,Yes,DSL,Month-to-month,No,Mailed check,74.27,2970.3,No
CUST_00142,Male,0,No,Yes,65,Yes,Fiber optic,Month-to-month,Yes,Credit card,113.66,7159.5,No
CUST_00143,Female,0,No,Yes,21,No,DSL,Month-to-month,Yes,Mailed check,47.92,991.81,No
CUST_00144,Female,0,No,No,24,Yes,DSL,Two year,Yes,Mailed check,53.63,1264.1,No
CUST_00145,Female,0,No,No,60,Yes,DSL,Two year,No,Mailed check,68.65,4319.54,No
CUST_00146,Male,0,Yes,No,26,Yes,Fiber optic,Month-to-month,Yes,Credit card,106.27,2801.66,Yes
CUST_00147,Male,1,No,No,9,Yes,Fiber optic,Two year,Yes,Credit card,85.57,769.5,No
CUST_00148,Male,0,No,No,20,Yes,Fiber optic,Two year,No,Mailed check,93.19,1866.28,No
CUST_00149,Male,0,No,No,56,No,Fiber optic,Month-to-month,Yes,Bank transfer,110.13,6231.43,No
CUST_00150,Female,0,No,Yes,36,Yes,DSL,One year,Yes,Electronic check,58.45,2182.78,No
CUST_00151,Male,0,No,Yes,36,Yes,No,Month-to-month,Yes,Mailed check,18.57,644.88,Yes
CUST_00152,Male,0,No,Yes,22,Yes,Fiber optic,Month-to-month,No,Mailed check,114.77,2550.1,No
CUST_00153,Male,0,Yes,No,1,Yes,Fiber optic,Month-to-month,Yes,Mailed check,78.11,76.72,Yes
CUST_00154,Male,0,No,No,69,Yes,DSL,Month-to-month,No,Mailed check,46.71,3245.82,No
CUST_00155,Male,0,Yes,Yes,37,No,DSL,Month-to-month,No,Mailed check,59.37,2200.69,Yes
CUST_00156,Female,0,Yes,Yes,72,Yes,No,Month-to-month,Yes,Bank transfer,18.85,1293.42,No
CUST_00157,Male,0,No,Yes,13,Yes,Fiber optic,Two year,Yes,Credit card,114.04,1494.78,No
CUST_00158,Female,1,Yes,Yes,43,No,Fiber optic,One year,Yes,Bank transfer,87.14,3825.23,No
CUST_00159,Male,0,No,Yes,37,Yes,DSL,One year,No,Mailed check,73.9,2664.97,No
CUST_00160,Female,0,Yes,No,25,Yes,Fiber optic,Two year,Yes,Mailed check,77.95,1872.07,No
CUST_00161,Male,0,No,No,21,Yes,No,One year,No,Mailed check,18.97,386.92,No
CUST_00162,Male,1,Yes,No,41,Yes,DSL,Month-to-month,Yes,Credit card,67.73,2814.61,No
CUST_00163,Female,0,Yes,Yes,42,Yes,Fiber optic,Two year,No,Electronic check,110.92,4644.06,Yes
CUST_00164,Female,0,No,No,42,Yes,No,Two year,Yes,Electronic check,18.8,818.52,No
CUST_00165,Female,0,Yes,Yes,2,Yes,Fiber optic,Month-to-month,No,Bank transfer,96.52,188.88,Yes
CUST_00166,Male,0,Yes,No,68,Yes,DSL,One year,No,Bank transfer,47.97,3218.15,No
CUST_00167,Female,0,Yes,Yes,8,Yes,Fiber optic,One year,No,Electronic check,106.55,854.77,Yes
CUST_00168,Male,0,Yes,Yes,61,Yes,DSL,Month-to-month,Yes,Mailed check,76.83,4667.63,Yes
CUST_00169,Male,0,Yes,No,14,Yes,No,Month-to-month,No,Credit card,22.4,315.12,Yes
CUST_00170,Female,0,No,No,21,Yes,Fiber optic,Month-to-month,No,Bank transfer,100.98,2080.64,No
CUST_00171,Female,0,Yes,No,24,Yes,No,Two year,No,Credit card,18.39,426.6,No
CUST_00172,Male,0,Yes,No,50,Yes,DSL,Month-to-month,Yes,Mailed check,47.55,2449.83,No
CUST_00173,Male,0,No,No,45,No,Fiber optic,Month-to-month,No,Mailed check,78.09,3351.95,No
CUST_00174,Female,0,No,Yes,64,Yes,DSL,Month-to-month,No,Bank transfer,54.58,3447.86,No
CUST_00175,Female,1,No,No,64,Yes,Fiber optic,Two year,Yes,Electronic check,104.19,6393.25,No
CUST_00176,Female,0,Yes,No,26,Yes,DSL,Two year,No,Electronic check,60.24,1603.26,No
CUST_00177,Male,0,Yes,Yes,32,Yes,DSL,One year,Yes,Electronic check,47.74,1507.09,No
CUST_00178,Male,0,Yes,No,57,Yes,No,Month-to-month,Yes,Mailed check,23.97,1302.0,No
CUST_00179,Male,0,Yes,Yes,53,Yes,DSL,One year,Yes,Mailed check,79.78,4049.21,No
CUST_00180,Male,0,No,No,33,Yes,Fiber optic,Two year,Yes,Credit card,90.48,2895.72,Yes
CUST_00181,Male,0,No,No,52,Yes,No,One year,No,Credit card,21.58,1154.48,No
CUST_00182,Male,0,Yes,Yes,18,No,No,One year,Yes,Credit card,18.55,343.88,No
CUST_00183,Female,0,Yes,No,35,Yes,DSL,Month-to-month,No,Mailed check,58.41,2145.71,No
CUST_00184,Male,0,Yes,No,12,Yes,No,Month-to-month,Yes,Electronic check,20.6,240.83,Yes
CUST_00185,Male,0,Yes,No,51,Yes,DSL,Month-to-month,No,Mailed check,78.8,3842.28,No
CUST_00186,Male,0,No,No,10,Yes,Fiber optic,Two year,No,Credit card,99.72,975.57,Yes
CUST_00187,Female,0,No,Yes,52,Yes,No,One year,No,Credit card,23.48,1181.51,No
CUST_00188,Male,0,Yes,Yes,34,Yes,Fiber optic,One year,No,Credit card,75.77,2630.55,No
CUST_00189,Male,0,No,No,67,Yes,No,Two year,No,Credit card,20.92,1467.3,No
CUST_00190,Female,0,Yes,No,39,Yes,No,Two year,Yes,Bank transfer,19.34,737.17,No
CUST_00191,Male,0,Yes,Yes,8,Yes,DSL,Month-to-month,No,Credit card,75.11,590.56,No
CUST_00192,Male,0,No,Yes,29,Yes,Fiber optic,Month-to-month,No,Mailed check,76.86,2195.66,No
CUST_00193,Male,0,Yes,No,22,Yes,Fiber optic,Two year,No,Bank transfer,89.75,2044.96,Yes
CUST_00194,Male,0,No,Yes,70,Yes,Fiber optic,Two year,Yes,Electronic check,72.41,5108.55,No
CUST_00195,Male,1,Yes,Yes,61,Yes,DSL,One year,Yes,Mailed check,67.2,4293.51,No
CUST_00196,Female,0,No,Yes,43,Yes,DSL,Two year,Yes,Mailed check,61.87,2694.13,No
CUST_00197,Female,0,Yes,Yes,49,Yes,No,Month-to-month,Yes,Electronic check,21.49,1074.48,Yes
CUST_00198,Female,0,No,No,29,Yes,No,Month-to-month,Yes,Mailed check,18.71,520.34,No
CUST_00199,Male,0,Yes,Yes,31,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,93.13,3017.4,No
CUST_00200,Male,0,Yes,No,53,Yes,Fiber optic,Two year,No,Electronic check,95.37,5119.35,No
CUST_00201,Male,0,No,No,34,Yes,Fiber optic,One year,Yes,Bank transfer,113.33,3860.92,No
CUST_00202,Female,1,Yes,Yes,38,Yes,Fiber optic,One year,No,Credit card,71.5,2686.22,Yes
CUST_00203,Male,0,No,No,57,Yes,No,Month-to-month,No,Electronic check,24.46,1335.2,Yes
CUST_00204,Male,0,No,No,4,Yes,DSL,Month-to-month,No,Bank transfer,61.78,238.08,No
CUST_00205,Female,0,Yes,Yes,2,Yes,Fiber optic,Two year,No,Credit card,79.46,151.15,No
CUST_00206,Male,0,Yes,Yes,12,Yes,No,Month-to-month,No,Bank transfer,22.66,285.47,Yes
CUST_00207,Female,0,Yes,Yes,35,Yes,No,One year,No,Bank transfer,21.62,778.34,No
CUST_00208,Female,0,Yes,No,70,Yes,Fiber optic,Two year,Yes,Mailed check,80.2,5781.28,No
CUST_00209,Female,0,No,No,72,Yes,DSL,One year,No,Credit card,66.94,4930.5,No
CUST_00210,Male,0,Yes,No,21,Yes,No,Two year,Yes,Mailed check,21.31,446.86,No
CUST_00211,Male,0,Yes,No,61,Yes,Fiber optic,Month-to-month,No,Credit card,101.01,5907.62,No
CUST_00212,Male,0,Yes,Yes,35,Yes,Fiber optic,One year,No,Credit card,101.01,3384.08,No
CUST_00213,Male,0,No,No,48,Yes,Fiber optic,Month-to-month,No,Mailed check,91.28,4563.71,Yes
CUST_00214,Male,0,Yes,Yes,15,No,DSL,Month-to-month,No,Mailed check,58.68,836.19,No
CUST_00215,Male,0,No,Yes,71,Yes,DSL,Month-to-month,Yes,Mailed check,47.21,3418.9,No
CUST_00216,Male,0,Yes,Yes,15,Yes,Fiber optic,Month-to-month,Yes,Credit card,92.22,1401.13,No
CUST_00217,Female,0,No,Yes,6,Yes,DSL,Two year,Yes,Credit card,53.51,321.09,No
CUST_00218,Male,1,Yes,No,68,Yes,DSL,One year,Yes,Credit card,46.86,3338.08,No
CUST_00219,Female,0,Yes,Yes,22,Yes,Fiber optic,Month-to-month,No,Credit card,84.87,1810.71,No
CUST_00220,Male,0,No,No,32,Yes,Fiber optic,Month-to-month,No,Credit card,73.94,2433.45,No
CUST_00221,Male,1,Yes,Yes,22,Yes,DSL,Month-to-month,Yes,Credit card,65.29,1461.52,No
CUST_00222,Male,0,Yes,Yes,27,Yes,DSL,One year,No,Bank transfer,62.63,1771.19,No
CUST_00223,Female,0,Yes,Yes,15,Yes,No,Two year,No,Mailed check,23.55,368.54,No
CUST_00224,Female,0,No,No,44,Yes,DSL,Month-to-month,Yes,Credit card,54.37,2303.3,No
CUST_00225,Female,0,Yes,Yes,9,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,86.72,765.46,Yes
CUST_00226,Female,0,No,Yes,34,No,DSL,Month-to-month,No,Electronic check,69.11,2432.28,No
CUST_00227,Male,0,No,Yes,15,Yes,No,Month-to-month,Yes,Bank transfer,24.95,364.1,Yes
CUST_00228,Female,0,No,Yes,62,Yes,Fiber optic,One year,No,Mailed check,110.69,6779.28,Yes
CUST_00229,Male,0,Yes,No,45,Yes,DSL,Month-to-month,No,Electronic check,63.23,2881.14,Yes
CUST_00230,Male,0,No,No,72,Yes,DSL,Month-to-month,No,Credit card,68.73,4979.56,No
CUST_00231,Female,0,No,Yes,58,Yes,Fiber optic,Month-to-month,No,Mailed check,93.94,5524.92,No
CUST_00232,Female,0,Yes,Yes,19,No,Fiber optic,One year,No,Electronic check,89.57,1738.09,No
CUST_00233,Female,0,No,No,16,Yes,Fiber optic,Month-to-month,No,Bank transfer,97.1,1589.2,No
CUST_00234,Female,1,No,No,8,Yes,DSL,Two year,No,Electronic check,58.53,479.34,No
CUST_00235,Female,1,Yes,No,33,No,Fiber optic,One year,Yes,Mailed check,82.61,2860.11,Yes
CUST_00236,Female,0,Yes,Yes,18,Yes,Fiber optic,One year,Yes,Electronic check,101.76,1805.33,Yes
CUST_00237,Female,1,No,No,35,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,109.24,3649.08,Yes
CUST_00238,Female,0,Yes,Yes,43,Yes,DSL,Month-to-month,Yes,Electronic check,55.08,2332.68,No
CUST_00239,Male,1,Yes,No,50,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,101.81,5300.02,No
CUST_00240,Female,0,Yes,No,3,Yes,DSL,Month-to-month,No,Electronic check,60.19,173.05,No
CUST_00241,Female,0,No,Yes,59,No,Fiber optic,Month-to-month,No,Bank transfer,83.59,5004.51,Yes
CUST_00242,Male,0,No,No,28,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,97.95,2721.53,Yes
CUST_00243,Female,0,Yes,Yes,46,Yes,No,Month-to-month,No,Bank transfer,24.58,1178.15,No
CUST_00244,Male,0,No,No,64,Yes,Fiber optic,Month-to-month,Yes,Credit card,85.83,5728.28,No
CUST_00245,Male,0,Yes,Yes,70,Yes,Fiber optic,Two year,No,Bank transfer,104.18,7500.37,No
CUST_00246,Female,0,Yes,No,47,Yes,DSL,Month-to-month,No,Mailed check,56.01,2526.98,No
CUST_00247,Male,0,Yes,No,14,Yes,DSL,Month-to-month,No,Bank transfer,73.14,975.23,No
CUST_00248,Male,0,Yes,Yes,7,Yes,DSL,Month-to-month,Yes,Credit card,71.6,482.98,Yes
CUST_00249,Male,0,Yes,Yes,31,Yes,DSL,One year,No,Credit card,71.8,2186.05,No
CUST_00250,Male,0,No,Yes,51,Yes,DSL,One year,Yes,Mailed check,79.92,3970.52,No
CUST_00251,Female,0,No,Yes,29,Yes,No,Month-to-month,No,Bank transfer,18.98,543.35,No
CUST_00252,Male,0,No,No,15,Yes,Fiber optic,Two year,Yes,Credit card,87.5,1265.62,No
CUST_00253,Female,0,No,No,25,Yes,DSL,Month-to-month,Yes,Credit card,67.08,1719.3,No
CUST_00254,Male,0,Yes,No,61,No,DSL,One year,Yes,Electronic check,65.67,4143.98,No
CUST_00255,Male,1,Yes,No,41,Yes,Fiber optic,One year,No,Electronic check,105.13,4305.08,No
